NO_OF_SAMPLES	2700
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 12:00:02	15838.71466643
FIRST_SAMPLE	2801
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.015717	0.025177	0.000153	0.009613	-0.003815	0.025788	-0.108797	-3.271076	3.834440	-0.372473	2.222171	1.278248	-0.139620	0.206455	0.139010	-0.069734	-0.018158	-0.019989	0.018769	0.019989	0.009003	0.019074	0.006867	0.008392	-2.107424	1.269703	1.141527	1.129625	1.064317	1.011521	0.001068	-0.020295	0.191501	0.179599	0.178683	0.108797	0.185397	0.169223	0.166476	0.036469	
-0.016632	0.026093	-0.001068	0.005341	-0.002899	0.024567	-0.113375	-3.287861	3.832914	-0.370947	2.220951	1.284047	-0.171054	0.279698	0.171359	-0.090486	-0.019074	-0.016632	0.018158	0.017243	0.006561	0.016938	0.004730	0.010834	-2.052491	1.251698	1.129931	1.123522	1.064317	1.019455	0.001373	-0.018769	0.193332	0.182040	0.183871	0.111238	0.188754	0.170748	0.168002	0.038605	
-0.016022	0.023041	-0.000458	0.005646	-0.006256	0.022431	-0.108797	-3.305867	3.833219	-0.368505	2.217594	1.289235	-0.195163	0.361181	0.209812	-0.105440	-0.024262	-0.003815	0.015412	0.017243	0.006867	0.017853	0.003510	0.009003	-2.002441	1.218433	1.102464	1.100328	1.047532	1.007858	0.001068	-0.017853	0.196689	0.184787	0.186007	0.114290	0.191501	0.173495	0.169833	0.041352	
-0.017243	0.021515	0.000458	0.004425	-0.006561	0.023957	-0.109407	-3.306783	3.832608	-0.369116	2.217899	1.288319	-0.227512	0.409705	0.237583	-0.125887	-0.034943	-0.015106	0.016632	0.018769	0.006867	0.017243	0.007477	0.008087	-1.990539	1.184253	1.071031	1.071336	1.020371	0.984665	0.001373	-0.016938	0.197910	0.186923	0.187533	0.116426	0.193332	0.175937	0.173190	0.043183	
-0.012665	0.023346	0.001678	0.007477	-0.006561	0.026703	-0.113985	-3.312276	3.831998	-0.369116	2.220645	1.282826	-0.249790	0.457618	0.271153	-0.145418	-0.037079	-0.033112	0.018463	0.022126	0.009308	0.019989	0.008698	0.007782	-2.008240	1.075303	0.972763	0.982834	0.946822	0.920882	0.001068	-0.016938	0.197604	0.186923	0.188754	0.117952	0.194553	0.177768	0.175021	0.044099	
-0.016022	0.027619	0.002899	0.009613	-0.005035	0.029145	-0.106355	-3.324788	3.830167	-0.369726	2.217594	1.292897	-0.267796	0.534524	0.298314	-0.157931	-0.036469	-0.032807	0.017853	0.023651	0.004425	0.018463	0.007172	0.008087	-2.048218	0.886397	0.800031	0.823529	0.805219	0.793622	0.001068	-0.016938	0.197910	0.187839	0.189059	0.118257	0.195468	0.178073	0.175021	0.045319	
-0.018463	0.028534	-0.000458	0.007477	-0.004730	0.027008	-0.106661	-3.336996	3.829557	-0.365148	2.216983	1.302052	-0.298009	0.602579	0.316014	-0.170138	-0.042878	-0.019074	0.017243	0.022126	0.006867	0.016632	0.006256	0.010529	-2.131838	0.648356	0.572366	0.609598	0.607156	0.608682	0.000458	-0.016327	0.197910	0.186618	0.189364	0.117952	0.195468	0.178378	0.175937	0.046540	
-0.023041	0.025483	0.002289	0.008087	-0.006561	0.025788	-0.106966	-3.349508	3.829862	-0.362707	2.214237	1.297475	-0.315404	0.641947	0.351720	-0.188144	-0.044709	-0.022431	0.018463	0.019684	0.005646	0.016022	0.003204	0.009613	-2.300603	0.390173	0.321202	0.365454	0.374914	0.384680	0.000153	-0.016632	0.193027	0.184787	0.186313	0.115511	0.185397	0.171054	0.162814	0.037079	
-0.018463	0.021820	0.002594	0.006867	-0.002899	0.026398	-0.102998	-3.352560	3.828336	-0.365148	2.214237	1.293507	-0.326696	0.678874	0.372473	-0.201877	-0.047456	-0.039521	0.016938	0.014191	0.007477	0.019684	0.004425	0.008392	-2.600290	0.101472	0.033722	0.085603	0.104829	0.121309	-0.000153	-0.017243	0.186313	0.177157	0.181430	0.111238	0.195163	0.175937	0.177768	0.045014	
-0.017853	0.022431	0.000763	0.005951	-0.004730	0.026093	-0.106355	-3.366598	3.826200	-0.362402	2.213932	1.304189	-0.337072	0.734417	0.396277	-0.214694	-0.051118	-0.031586	0.020600	0.018463	0.006256	0.019379	0.008087	0.007782	-3.004959	-0.169833	-0.245212	-0.196994	-0.175631	-0.158236	-0.001068	-0.020905	0.178073	0.170138	0.174105	0.105745	0.186618	0.171054	0.170748	0.042573	
-0.014801	0.025788	0.001984	0.005035	-0.005646	0.024262	-0.106050	-3.384299	3.824674	-0.361181	2.214237	1.306630	-0.342260	0.801862	0.430762	-0.229343	-0.052338	-0.012665	0.019684	0.017548	0.007782	0.015106	0.006256	0.008698	-3.495995	-0.352026	-0.452430	-0.418250	-0.411841	-0.408179	-0.001068	-0.025788	0.165560	0.159457	0.163729	0.095674	0.177157	0.162814	0.163119	0.035248	
